facility_name,address,city,state,zip,registry_id,naics_codes,latitude,longitude,npdes_ids,permit_status,is_major,border_facility,active,violations_3yr,dfr_url,design_flow_mgd
CHEVRON USA PRODUCTION CO RANGELY FIELD,100 CHEVRON RD,RANGELY,CO,81648,110000520874,211130 21111 211111 211112 211120,40.1053,-108.86812,COU000110,Not Applicable,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110000520874,
CHEVRONTEXACO-RANGELY STATION,2750 COUNTY ROAD 102,RANGELY,CO,81648,110054613593,48611 486110,40.084,-108.774,COG604152,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110054613593,
CHEYENNE CANYON BRIDGE IMPROVEMENTS,N CHEYENNE CANYON RD S OF GOLD CAMP RD,COLORADO SPRINGS,CO,80906,110071097627,,38.791562,-104.890935,COG080321,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071097627,
CHEYENNE COUNTY OPERATIONS,"1801 BROADWAY, SUITE 600",DENVER,CO,80202,110071782412,,39.744955,-104.98739,COR423403,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071782412,
CHEYENNE MOUNTAIN AIR STATION,1 NORAD RD,COLORADO SPRINGS,CO,80914,110001398979,928110 92811,38.74774,-104.8125,CO0034762,Terminated Permit,,,Y,4,https://echo.epa.gov/detailed-facility-report?fid = 110001398979,
CHEYENNE MOUNTAIN SCHOOL DISTRICT 12,VARIOUS LOCATIONS,COLORADO SPRINGS,CO,80905,110043760169,,38.805,-104.838,COR070035,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110043760169,
CHEYENNE MOUNTAIN STATE PARK CAMPGROUND EXPANSION,410 JL RANCH HEIGHTS ROAD,COLORADO SPRINGS,CO,80926,110071953622,,38.738202,-104.808255,COR426897,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071953622,
CHEYENNE MTN ZOO,4250 CHEYENNE MOUNTAIN ZOO ROAD,COLORADO SPRINGS,CO,80906,110009128416,712130,38.77194,-104.85289,COR426437,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110009128416,
CHEYENNE RIDGE II WIND PROJECT,30837 COUNTY RD DD,CHEYENNE WELLS,CO,80810,110071952678,,38.997128,-102.599838,COR426795,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071952678,
CHEYENNE WELLS SANITATION DIST,800 N 6 E,CHEYENNE WELLS,CO,80810,110006782311,,38.83816,-102.34315,COG582044 COG589039 COG591039,Violation Identified,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110006782311,
CHEYENNE/ARAPAHO PARK,9200 E. IOWA AVE.,DENVER,CO,80247,110071299111,,39.68699,-104.880041,COR416907,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071299111,
CHICK-FIL-A 10TH & 83RD,8020 10TH ST,GREELEY,CO,80634,110072178226,,40.421344,-104.808169,COR430633,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072178226,
CHICK-FIL-A 136TH & QUEBEC,13740 QUEBEC ST,THORNTON,CO,80602,110072198779,,39.946329,-104.903146,COR430981,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072198779,
CHICK-FIL-A FIRESTONE,FIRESTONE BLVD & ARBOR ST,FIRESTONE,CO,80504,110071925115,,40.16107,-104.971992,COR426765,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071925115,
CHICK-FIL-A GARTRELL,7495 S GARTRELL RD,AURORA,CO,80016,110071960673,,39.58069,-104.72518,COR427566,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071960673,
CHICK-FIL-A LONE TREE,S YOSEMITE ST & PARK MEADOWS CENTER DR,LONE TREE,CO,80124,110071822961,,39.559848,-104.881026,COR424777,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071822961,
CHICK-FIL-A NINE MILE CORNER,2950 ARAPAHOE RD,LAFAYETTE,CO,80026,110071864019,,40.013627,-105.102104,COR425358,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071864019,
CHICKEN N PICKLE THORNTON,LINCOLN ST & GROVE AVE,THORNTON,CO,80023,110071659206,,39.954039,-104.986872,COR422741,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071659206,
CHICO BASIN RANCH WEST,S. PEYTON HIGHWAY,FOUNTAIN,CO,80817,110071725920,,38.578567,-104.460165,COR422490,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071725920,
CHIEFTAIN SOUTH CLAY MINE,15900 W ALAMEDA PKWY,LAKEWOOD,CO,80228,110040085582,,39.684525,-105.182646,COG501518,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110040085582,
CHIEFTAN NORTH MINE,16051 W ALAMEDA PKWY,LAKEWOOD,CO,80228,110070052039,,39.68536,-105.184782,COG502123,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070052039,
CHILDRENS LIGHTHOUSE,NEWLIN GULCH BLVD AND TARA LN,PARKER,CO,80134,110070386386,,39.50231,-104.80686,COR03U242 COR401189,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070386386,
CHILSON - STROH FARM - LOT 3,E. EISENHOWER BLVD,LOVELAND,CO,80537,110070885513,,40.406754,-105.019892,COR410881,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070885513,
CHIMNEY HOLLOW RESERVOIR PROJECT,CHIMNEY HOLLOW RD AND W CR 18E,LOVELAND,CO,80537,110070102866,,40.346859,-105.23796,COR03R709 COR403325,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070102866,
CHIPETA HOLLOWS,2981 B 1/2 ROAD,GRAND JUNCTION,CO,81503,110071884551,,39.039319,-108.498472,COR425853,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071884551,
CHIPOLTE,99 SPECTRUM LOOP,COLORADO SPRINGS,CO,80921,110072003841,,39.021556,-104.817607,COR427296,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072003841,
CHIPOTLE CENTRAL RAIL POINT,PACIFIC RAIL PT & CENTRAL RAIL PT,COLORADO SPRINGS,CO,80915,110072082560,,38.842843,-104.692894,COR428656,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072082560,
CHIPOTLE PUEBLO SHELL,2065 W. PUEBLO BLVD,PUEBLO,CO,81004,110072113530,,38.218635,-104.63511,COR429369,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072113530,
CHIPOTLE RUNWAY 35 NORTH,E 46TH AVE & CENTRAL PARK BLVD,DENVER,CO,80238,110071886600,,39.779847,-104.884417,COR425953,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071886600,
CHIPOTLE TIMBER RAIL POINT FOUNTAIN,6250 TIMBER RAIL PT,FOUNTAIN,CO,80817,110072108217,,38.720019,-104.711037,COR429206,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072108217,
CHIROPTERAN RESEARCH FACILITY,"3185 RAMPART RD., BLDG. J",FORT COLLINS,CO,80521,110071509493,,40.575712,-105.142755,COR421286,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071509493,
